                                                  

     Z,SCF,CCSD,BIND
   2.2,   -292.0811877,   -293.7951766,   -0.03877427
   2.3,   -292.1011590,   -293.8097797,   -0.05337737
   2.4,   -292.1132931,   -293.8169883,   -0.06058596
   2.5,   -292.1201579,   -293.8193712,   -0.06296887
   2.6,   -292.1234668,   -293.8186441,   -0.06224174
   2.7,   -292.1243687,   -293.8159536,   -0.05955128
