                                                  

     Z,SCF,CCSD,BIND
   2.2,   -292.0855963,   -293.8165915,   -0.03880978
   2.3,   -292.1055532,   -293.8311825,   -0.05340074
   2.4,   -292.1176834,   -293.8383891,   -0.06060738
   2.5,   -292.1245486,   -293.8407709,   -0.06298915
   2.6,   -292.1278589,   -293.8400419,   -0.06226016
   2.7,   -292.1287620,   -293.8373494,   -0.05956769
