                                                  

     Z,SCF,CCSD,BIND
   2.2,   -269.9952929,   -271.4687572,   -0.05325402
   2.3,   -270.0215870,   -271.4882991,   -0.07279582
   2.4,   -270.0361060,   -271.4969230,   -0.08141978
   2.5,   -270.0428531,   -271.4985203,   -0.08301710
   2.6,   -270.0445257,   -271.4957237,   -0.08022035
   2.7,   -270.0429346,   -271.4903032,   -0.07480004
   2.8,   -270.0392917,   -271.4834332,   -0.06793005
