z,bind
1.5,0.098540869999999
1.6,-0.031450099999998926
1.7,-0.10392726000000074
1.8,-0.13920882000000034
1.9,-0.15103810000000095
2.0,-0.1486257999999978
2.1,-0.13813907000000114
2.2,-0.12389701999999936
