r bind
1.20 0.02362592
1.30 -0.04035480
1.40 -0.07973515
1.50 -0.10231803
1.60 -0.11341514
1.70 -0.11670265
1.80 -0.11475260
1.90 -0.10937539
2.00 -0.10186519
