r bind
1.72 -0.08905365 
1.82 -0.08704543 
1.92 -0.08229997 
2.02 -0.07586117 
2.12 -0.06845997 
2.22 -0.06060927 
2.32 -0.05268053 
2.42 -0.04493879
2.52 -0.03757931 
