r bind
1.5 0.03134544
1.6 -0.04076737
1.7 -0.07511727
1.8 -0.08894818
1.9 -0.09052167
2.0 -0.08503513
2.1 -0.07578178
2.2 -0.06481947
2.3 -0.04616320
