,MAD,LMAD,WMAD
LANL2,0.5936,0.1113,6.8790
SBKJC,0.3938,0.0697,3.7104
MDFSTU,0.2669,0.0177,1.7660
MWBSTU,0.1570,0.0105,1.4057
CRENBL,0.1074,0.0372,1.3851
UC,0.1581,0.0282,1.3572
ccECP,0.0588,0.0166,0.6278
