250	-209.11118309
260	-209.11666012
270	-209.11739252
280	-209.11838467
290	-209.11877894
300	-209.11491958
310	-209.12040101
320	-209.12067422
330	-209.12153825
340	-209.12199611
350	-209.12210775
360	-209.12208052
370	-209.12236486
380	-209.12350450
390	-209.12365570
400	-209.12376871
410	-209.12313177
420	-209.12319647
430	-209.12361949
440	-209.12399473
450	-209.12367589
460	-209.12356288
470	-209.12403113
480	-209.12331844
490	-209.12358097
500	-209.12371366
510	-209.12358519
520	-209.12405248
530	-209.12371749
540	-209.12371585
550	-209.12370579
560	-209.12404878
570	-209.12371548
580	
590	
600	
