,MAD,LMAD,WMAD
LANL2,1.3361,0.0594,2.9410
CRENBL,0.3132,0.0171,0.3179
MDFSTU,0.2859,0.0063,0.2102
MWBSTU,0.2293,0.0256,0.1967
UC,0.1002,0.0076,0.2293
ccECP,0.0453,0.0133,0.1610
