r bind
1.20 0.02212770
1.30 -0.04396202
1.40 -0.08255658
1.50 -0.10277177
1.60 -0.11080800
1.70 -0.11089443
1.80 -0.10592529
1.90 -0.09788757
2.00 -0.08814940
