                                                  

     Z,SCF,CCSD
   0.0,    0.00000000,    0.00000000
   0.0,    0.00000000,    0.00000000
   0.0,    0.00000000,    0.00000000
   0.0,    0.00000000,    0.00000000
   1.7,   -5.86207634,   -5.98223376
                                                  
