0: output to I.dmc.o
844: Timestep is 1.15857536764706
53: Timestep is 1.15857536764706
1657: Timestep is 1.15857536764706
1387: Timestep is 1.15857536764706
568: Timestep is 1.15857536764706
1930: Timestep is 1.15857536764706
1114: Timestep is 1.15857536764706
301: Timestep is 1.15857536764706
1115: Timestep is 1.15857536764706
303: Timestep is 1.15857536764706
54: Timestep is 1.15857536764706
304: Timestep is 1.15857536764706
845: Timestep is 1.15857536764706
1658: Timestep is 1.15857536764706
569: Timestep is 1.15857536764706
1931: Timestep is 1.15857536764706
55: Timestep is 1.15857536764706
1388: Timestep is 1.15857536764706
846: Timestep is 1.15857536764706
570: Timestep is 1.15857536764706
1932: Timestep is 1.15857536764706
1116: Timestep is 1.15857536764706
56: Timestep is 1.15857536764706
1659: Timestep is 1.15857536764706
305: Timestep is 1.15857536764706
1389: Timestep is 1.15857536764706
847: Timestep is 1.15857536764706
571: Timestep is 1.15857536764706
1934: Timestep is 1.15857536764706
1117: Timestep is 1.15857536764706
57: Timestep is 1.15857536764706
1390: Timestep is 1.15857536764706
848: Timestep is 1.15857536764706
572: Timestep is 1.15857536764706
1935: Timestep is 1.15857536764706
1118: Timestep is 1.15857536764706
59: Timestep is 1.15857536764706
1660: Timestep is 1.15857536764706
306: Timestep is 1.15857536764706
1391: Timestep is 1.15857536764706
849: Timestep is 1.15857536764706
573: Timestep is 1.15857536764706
1936: Timestep is 1.15857536764706
1120: Timestep is 1.15857536764706
60: Timestep is 1.15857536764706
1661: Timestep is 1.15857536764706
307: Timestep is 1.15857536764706
1392: Timestep is 1.15857536764706
850: Timestep is 1.15857536764706
574: Timestep is 1.15857536764706
1937: Timestep is 1.15857536764706
1121: Timestep is 1.15857536764706
61: Timestep is 1.15857536764706
1662: Timestep is 1.15857536764706
308: Timestep is 1.15857536764706
1393: Timestep is 1.15857536764706
851: Timestep is 1.15857536764706
575: Timestep is 1.15857536764706
1938: Timestep is 1.15857536764706
1663: Timestep is 1.15857536764706
1394: Timestep is 1.15857536764706
853: Timestep is 1.15857536764706
1122: Timestep is 1.15857536764706
1664: Timestep is 1.15857536764706
309: Timestep is 1.15857536764706
1123: Timestep is 1.15857536764706
310: Timestep is 1.15857536764706
62: Timestep is 1.15857536764706
311: Timestep is 1.15857536764706
1665: Timestep is 1.15857536764706
576: Timestep is 1.15857536764706
1939: Timestep is 1.15857536764706
63: Timestep is 1.15857536764706
1395: Timestep is 1.15857536764706
854: Timestep is 1.15857536764706
577: Timestep is 1.15857536764706
1941: Timestep is 1.15857536764706
1124: Timestep is 1.15857536764706
64: Timestep is 1.15857536764706
1666: Timestep is 1.15857536764706
312: Timestep is 1.15857536764706
1396: Timestep is 1.15857536764706
855: Timestep is 1.15857536764706
578: Timestep is 1.15857536764706
1942: Timestep is 1.15857536764706
1126: Timestep is 1.15857536764706
65: Timestep is 1.15857536764706
1397: Timestep is 1.15857536764706
857: Timestep is 1.15857536764706
579: Timestep is 1.15857536764706
1943: Timestep is 1.15857536764706
1127: Timestep is 1.15857536764706
67: Timestep is 1.15857536764706
1667: Timestep is 1.15857536764706
313: Timestep is 1.15857536764706
1398: Timestep is 1.15857536764706
858: Timestep is 1.15857536764706
580: Timestep is 1.15857536764706
1944: Timestep is 1.15857536764706
1129: Timestep is 1.15857536764706
68: Timestep is 1.15857536764706
1668: Timestep is 1.15857536764706
315: Timestep is 1.15857536764706
1399: Timestep is 1.15857536764706
859: Timestep is 1.15857536764706
581: Timestep is 1.15857536764706
1945: Timestep is 1.15857536764706
1130: Timestep is 1.15857536764706
70: Timestep is 1.15857536764706
1669: Timestep is 1.15857536764706
316: Timestep is 1.15857536764706
1400: Timestep is 1.15857536764706
860: Timestep is 1.15857536764706
582: Timestep is 1.15857536764706
1946: Timestep is 1.15857536764706
1131: Timestep is 1.15857536764706
1670: Timestep is 1.15857536764706
317: Timestep is 1.15857536764706
1401: Timestep is 1.15857536764706
861: Timestep is 1.15857536764706
1671: Timestep is 1.15857536764706
1132: Timestep is 1.15857536764706
319: Timestep is 1.15857536764706
71: Timestep is 1.15857536764706
323: Timestep is 1.15857536764706
1672: Timestep is 1.15857536764706
72: Timestep is 1.15857536764706
1402: Timestep is 1.15857536764706
862: Timestep is 1.15857536764706
583: Timestep is 1.15857536764706
1947: Timestep is 1.15857536764706
1133: Timestep is 1.15857536764706
73: Timestep is 1.15857536764706
1673: Timestep is 1.15857536764706
324: Timestep is 1.15857536764706
1403: Timestep is 1.15857536764706
863: Timestep is 1.15857536764706
584: Timestep is 1.15857536764706
1134: Timestep is 1.15857536764706
74: Timestep is 1.15857536764706
1404: Timestep is 1.15857536764706
864: Timestep is 1.15857536764706
585: Timestep is 1.15857536764706
1948: Timestep is 1.15857536764706
